Date,BTC_Price,BTC_Open,BTC_High,BTC_Low,BTC_Vol.,Change %,DowJones_Price,Nasdaq_Price,S&P_Price,Gold_Price,BrentOil_Price,Weighted_Average_Sentiment,Most_Influential_Sentiment,Majority_Sentiment
2018-05-14,"8,670.8","8,683.8","8,882.4","8,279.5",37.15K,-0.15%,"24,899.41","7,411.31","2,730.10",1313.2,78.17,0.1101238348999539,Positive,Positive
2018-05-15,"8,467.5","8,668.5","8,838.0","8,420.7",26.21K,-2.34%,"24,706.41","7,351.63","2,711.40",1290.39,78.94,0.117673360183835,Negative,Positive
2018-05-16,"8,336.1","8,467.0","8,488.7","8,103.6",32.76K,-1.55%,"24,768.93","7,398.30","2,722.50",1290.63,78.19,-0.04426074513922567,Negative,Negative
2018-05-17,"8,051.8","8,349.7","8,466.9","7,986.8",25.19K,-3.41%,"24,713.98","7,382.47","2,720.10",1290.73,80.09,0.007732667028903961,Positive,Positive
2018-05-18,"8,239.0","8,054.8","8,276.6","7,927.8",23.44K,2.32%,"24,715.09","7,354.34","2,713.00",1291.3,78.38,0.02226067086060842,Negative,Positive
2018-05-19,"8,232.3","8,238.9","8,400.1","8,142.0",14.15K,-0.08%,,,,,,-0.1501372531056404,Negative,Negative
2018-05-20,"8,523.7","8,230.9","8,580.0","8,171.5",15.50K,3.54%,,,,,,-0.5556501497824987,Negative,Negative
2018-05-21,"8,393.4","8,523.7","8,586.9","8,317.7",17.22K,-1.53%,"25,013.29","7,394.04","2,733.00",1293.0,78.34,-0.04121700167655945,Positive,Negative
2018-05-22,"7,977.3","8,399.6","8,406.5","7,947.2",20.53K,-4.96%,"24,834.41","7,378.45","2,724.40",1291.08,80.42,0.126346245959953,Negative,Positive
2018-05-23,"7,494.8","7,978.0","8,020.0","7,442.1",41.68K,-6.05%,"24,886.81","7,425.95","2,733.30",1293.22,78.69,-0.0663036076408444,Negative,Negative
2018-05-24,"7,576.7","7,503.3","7,718.0","7,260.9",38.86K,1.09%,"24,811.76","7,424.43","2,727.80",1304.61,78.9,-0.2346472918987274,Positive,Negative
2018-05-25,"7,458.0","7,576.0","7,654.1","7,323.1",25.87K,-1.57%,"24,753.09","7,433.85","2,721.30",1303.7,76.6,-0.03957282282688,Negative,Positive
2018-05-26,"7,330.3","7,456.7","7,621.7","7,286.1",13.81K,-1.71%,,,,,,0.1258141063153744,Positive,Positive
2018-05-27,"7,339.7","7,330.8","7,411.5","7,220.1",16.17K,0.13%,,,,,,-0.2788879752159119,Negative,Negative
2018-05-28,"7,097.9","7,339.6","7,434.8","7,062.4",26.68K,-3.29%,,,,1297.67,,-0.2287478909680718,Negative,Negative
2018-05-29,"7,460.0","7,104.0","7,527.9","7,048.6",27.90K,5.10%,"24,361.45","7,396.59","2,689.90",1298.62,74.51,-0.2176330956545743,Negative,Negative
2018-05-30,"7,375.1","7,465.3","7,557.5","7,279.6",22.08K,-1.14%,"24,667.78","7,462.45","2,724.00",1301.93,75.89,-0.1199478918597812,Positive,Negative
2018-05-31,"7,485.8","7,375.1","7,599.7","7,338.0",19.46K,1.50%,"24,415.84","7,442.12","2,705.30",1298.08,76.45,-0.05380578339099884,Negative,Positive
2018-06-01,"7,521.0","7,485.9","7,599.8","7,344.8",19.04K,0.47%,"24,635.21","7,554.33","2,734.60",1299.3,74.54,-0.03829126534136859,Positive,Negative
2018-06-02,"7,638.1","7,521.1","7,691.2","7,445.5",17.36K,1.56%,,,,,,0.1195061355829239,Negative,Positive
2018-06-03,"7,718.0","7,639.0","7,777.4","7,600.0",13.80K,1.05%,,,,,,0.3957584500312805,Positive,Positive
2018-06-04,"7,488.3","7,718.0","7,761.5","7,457.5",18.13K,-2.98%,"24,813.69","7,606.46","2,746.90",1291.77,73.41,-0.0644853139115918,Negative,Negative
2018-06-05,"7,621.7","7,487.9","7,669.0","7,372.9",16.84K,1.78%,"24,799.98","7,637.86","2,748.80",1296.24,72.91,-0.1009288261595525,Positive,Negative
2018-06-06,"7,654.0","7,621.9","7,698.0","7,495.2",18.27K,0.42%,"25,146.39","7,689.24","2,772.30",1296.06,73.23,-0.1040804415941238,Positive,Negative
2018-06-07,"7,688.9","7,653.9","7,756.1","7,645.8",11.04K,0.46%,"25,241.41","7,635.07","2,770.40",1296.91,75.23,0.003439840343263414,Negative,Positive
2018-06-08,"7,615.1","7,685.7","7,697.0","7,544.0",12.20K,-0.96%,"25,316.53","7,645.51","2,779.00",1302.7,75.11,-0.04555078830037798,Negative,Positive
2018-06-09,"7,498.6","7,615.2","7,684.9","7,467.7",7.22K,-1.53%,,,,,,0.4597767790158589,Positive,Positive
