Date,BTC_Price,BTC_Open,BTC_High,BTC_Low,BTC_Vol.,Change %,DowJones_Price,Nasdaq_Price,S&P_Price,Gold_Price,BrentOil_Price,Weighted_Average_Sentiment,Most_Influential_Sentiment,Majority_Sentiment
2018-05-14,8670.8,8683.8,8882.4,8279.5,37150.0,-0.0015,24899.41,7411.31,2730.1,1313.2,78.17,0.1101238348999539,Positive,Positive
2018-05-15,8467.5,8668.5,8838.0,8420.7,26210.0,-0.023399999999999997,24706.41,7351.63,2711.4,1290.39,78.94,0.117673360183835,Negative,Positive
2018-05-16,8336.1,8467.0,8488.7,8103.6,32759.999999999996,-0.0155,24768.93,7398.3,2722.5,1290.63,78.19,-0.04426074513922567,Negative,Negative
2018-05-17,8051.8,8349.7,8466.9,7986.8,25190.0,-0.0341,24713.98,7382.47,2720.1,1290.73,80.09,0.007732667028903961,Positive,Positive
2018-05-18,8239.0,8054.8,8276.6,7927.8,23440.0,0.0232,24715.09,7354.34,2713.0,1291.3,78.38,0.02226067086060842,Negative,Positive
2018-05-19,8232.3,8238.9,8400.1,8142.0,14150.0,-0.0008,24715.09,7354.34,2713.0,1291.3,78.38,-0.1501372531056404,Negative,Negative
2018-05-20,8523.7,8230.9,8580.0,8171.5,15500.0,0.0354,24715.09,7354.34,2713.0,1291.3,78.38,-0.5556501497824987,Negative,Negative
2018-05-21,8393.4,8523.7,8586.9,8317.7,17220.0,-0.015300000000000001,25013.29,7394.04,2733.0,1293.0,78.34,-0.04121700167655945,Positive,Negative
2018-05-22,7977.3,8399.6,8406.5,7947.2,20530.0,-0.0496,24834.41,7378.45,2724.4,1291.08,80.42,0.126346245959953,Negative,Positive
2018-05-23,7494.8,7978.0,8020.0,7442.1,41680.0,-0.0605,24886.81,7425.95,2733.3,1293.22,78.69,-0.0663036076408444,Negative,Negative
2018-05-24,7576.7,7503.3,7718.0,7260.9,38860.0,0.0109,24811.76,7424.43,2727.8,1304.61,78.9,-0.2346472918987274,Positive,Negative
2018-05-25,7458.0,7576.0,7654.1,7323.1,25870.0,-0.015700000000000002,24753.09,7433.85,2721.3,1303.7,76.6,-0.03957282282688,Negative,Positive
2018-05-26,7330.3,7456.7,7621.7,7286.1,13810.0,-0.0171,24753.09,7433.85,2721.3,1303.7,76.6,0.1258141063153744,Positive,Positive
2018-05-27,7339.7,7330.8,7411.5,7220.1,16170.000000000002,0.0013,24753.09,7433.85,2721.3,1303.7,76.6,-0.2788879752159119,Negative,Negative
2018-05-28,7097.9,7339.6,7434.8,7062.4,26680.0,-0.0329,24753.09,7433.85,2721.3,1297.67,76.6,-0.2287478909680718,Negative,Negative
2018-05-29,7460.0,7104.0,7527.9,7048.6,27900.0,0.051,24361.45,7396.59,2689.9,1298.62,74.51,-0.2176330956545743,Negative,Negative
2018-05-30,7375.1,7465.3,7557.5,7279.6,22080.0,-0.011399999999999999,24667.78,7462.45,2724.0,1301.93,75.89,-0.1199478918597812,Positive,Negative
2018-05-31,7485.8,7375.1,7599.7,7338.0,19460.0,0.015,24415.84,7442.12,2705.3,1298.08,76.45,-0.05380578339099884,Negative,Positive
2018-06-01,7521.0,7485.9,7599.8,7344.8,19040.0,0.004699999999999999,24635.21,7554.33,2734.6,1299.3,74.54,-0.03829126534136859,Positive,Negative
2018-06-02,7638.1,7521.1,7691.2,7445.5,17360.0,0.015600000000000001,24635.21,7554.33,2734.6,1299.3,74.54,0.1195061355829239,Negative,Positive
2018-06-03,7718.0,7639.0,7777.4,7600.0,13800.0,0.0105,24635.21,7554.33,2734.6,1299.3,74.54,0.3957584500312805,Positive,Positive
2018-06-04,7488.3,7718.0,7761.5,7457.5,18130.0,-0.0298,24813.69,7606.46,2746.9,1291.77,73.41,-0.0644853139115918,Negative,Negative
2018-06-05,7621.7,7487.9,7669.0,7372.9,16840.0,0.0178,24799.98,7637.86,2748.8,1296.24,72.91,-0.1009288261595525,Positive,Negative
2018-06-06,7654.0,7621.9,7698.0,7495.2,18270.0,0.0042,25146.39,7689.24,2772.3,1296.06,73.23,-0.1040804415941238,Positive,Negative
2018-06-07,7688.9,7653.9,7756.1,7645.8,11040.0,0.0046,25241.41,7635.07,2770.4,1296.91,75.23,0.003439840343263414,Negative,Positive
2018-06-08,7615.1,7685.7,7697.0,7544.0,12200.0,-0.0096,25316.53,7645.51,2779.0,1302.7,75.11,-0.04555078830037798,Negative,Positive
2018-06-09,7498.6,7615.2,7684.9,7467.7,7220.0,-0.015300000000000001,25316.53,7645.51,2779.0,1302.7,75.11,0.4597767790158589,Positive,Positive
2018-06-10,6757.3,7498.1,7498.1,6633.9,57820.0,-0.0989,25316.53,7645.51,2779.0,1302.7,75.11,0.06951450875827245,Positive,Positive
2018-06-11,6873.3,6757.3,6897.0,6631.0,22380.0,0.0172,25322.31,7659.93,2782.0,1300.05,74.58,-0.1315634532554729,Negative,Negative
2018-06-12,6543.9,6873.2,6873.2,6441.0,32009.999999999996,-0.0479,25320.73,7703.79,2786.8,1295.66,74.86,0.01418901690178447,Negative,Positive
2018-06-13,6295.2,6543.1,6611.7,6125.7,45580.0,-0.038,25201.2,7695.7,2775.6,1299.37,75.07,-0.1102045338328292,Negative,Negative
2018-06-14,6633.7,6295.1,6703.4,6269.5,33060.0,0.0538,25175.31,7761.04,2782.5,1302.01,74.77,-0.03114168097575505,Positive,Negative
2018-06-15,6385.0,6638.0,6655.5,6360.3,21290.0,-0.0375,25090.48,7746.38,2779.7,1278.5,72.02,-0.1138074119244852,Negative,Negative
2018-06-18,6709.2,6443.5,6826.8,6378.6,26370.0,0.0425,24987.47,7747.02,2773.8,1278.14,74.87,-0.1664986649946291,Negative,Negative
2018-06-19,6737.5,6711.6,6832.9,6666.2,17380.0,0.0042,24700.21,7725.59,2762.6,1274.4,74.92,0.07113807630248187,Positive,Positive
2018-06-20,6760.4,6732.7,6818.2,6560.0,18710.0,0.0034000000000000002,24657.8,7781.52,2767.3,1267.71,74.25,-0.04490947015583515,Negative,Positive
2018-06-21,6713.5,6760.0,6787.1,6680.1,10650.0,-0.0069,24461.7,7712.95,2749.8,1267.06,72.87,0.09751902023951213,Negative,Positive
2018-06-22,6042.6,6715.2,6730.7,5929.1,55250.0,-0.0999,24580.89,7692.82,2754.9,1270.7,73.67,-0.1472793091088533,Negative,Negative
2018-06-23,6152.0,6041.0,6253.9,6014.0,20700.0,0.0181,24580.89,7692.82,2754.9,1270.7,73.67,-0.0798534631729126,Positive,Negative
2018-06-24,6148.0,6151.9,6249.7,5762.9,45500.0,-0.0006,24580.89,7692.82,2754.9,1270.7,73.67,-0.1119941898754665,Negative,Negative
2018-06-25,6246.6,6146.1,6334.2,6082.1,27910.0,0.016,24252.8,7532.01,2717.1,1263.87,72.82,0.0007499183217684428,Positive,Positive
2018-06-26,6078.5,6250.8,6273.7,6050.2,18830.0,-0.0269,24283.11,7561.63,2723.1,1257.86,73.58,-0.1098687420599163,Positive,Negative
2018-06-27,6133.1,6073.5,6181.4,5989.0,18270.0,0.009000000000000001,24117.59,7445.09,2699.6,1251.8,76.09,-0.1269745104240649,Negative,Negative
2018-06-28,5850.0,6133.1,6167.7,5829.9,17940.0,-0.0462,24216.05,7503.68,2716.3,1248.07,76.26,-0.0548446471652677,Negative,Negative
2018-06-29,6208.1,5848.1,6273.0,5782.9,33930.0,0.061200000000000004,24271.41,7510.3,2718.4,1254.5,77.44,-0.125573534766833,Negative,Negative
2018-06-30,6391.5,6208.2,6518.1,6195.8,23860.0,0.029500000000000002,24271.41,7510.3,2718.4,1254.5,77.44,-0.09726514667272568,Negative,Positive
2018-07-01,6349.7,6391.5,6435.0,6260.2,11380.0,-0.006500000000000001,24271.41,7510.3,2718.4,1254.5,77.44,-0.372704416513443,Negative,Negative
2018-07-02,6581.3,6617.6,6672.4,6539.0,26920.0,0.0365,24307.18,7567.69,2726.7,1241.34,76.71,-0.09868841900907714,Negative,Negative
2018-07-03,6500.0,6617.6,6672.4,6470.5,17260.0,-0.0124,24174.82,7502.67,2713.2,1252.27,75.87,-0.2127495959953025,Negative,Negative
2018-07-04,6590.0,6509.0,6778.3,6418.7,22490.0,0.0138,24174.82,7502.67,2713.2,1257.01,76.99,-0.1416137679056688,Negative,Negative
2018-07-05,6540.2,6589.9,6697.7,6452.0,23130.0,-0.0076,24356.74,7586.43,2736.6,1254.0,77.09,-0.1740102350711822,Negative,Negative
2018-07-06,6602.1,6531.6,6636.9,6452.9,14950.0,0.0095,24456.48,7688.39,2759.8,1255.8,74.98,-0.08405012125149369,Negative,Negative
